ID,Species_common_name,Species_scientific_name,X,Y,Date,Time,Distance_m,dt_s,Speed_m_s,habitat_type,Year,Habitat_specialisation,Feeding_guild,Ground-foraging_behaviour_%,HWI,Animal_mass_g,timestamp
BB01,Northern Brownbul,Phyllastrephus strepitans,391459.2898,9843191.13,3/16/2016,7:50,147.24,600,0.25,Riparian thicket,2016,Generalist,Omnivores,50,9.54,29,3/16/2016 7:50
BB01,Northern Brownbul,Phyllastrephus strepitans,391589.6098,9843122.6,3/16/2016,8:00,51.94,600,0.09,Riparian thicket,2016,Generalist,Omnivores,50,9.54,29,3/16/2016 8:00
BB01,Northern Brownbul,Phyllastrephus strepitans,391541.2599,9843103.62,3/16/2016,8:10,27.58,600,0.05,Agricultural land,2016,Generalist,Omnivores,50,9.54,29,3/16/2016 8:10
BB01,Northern Brownbul,Phyllastrephus strepitans,391540.5995,9843076.05,3/16/2016,8:20,160.59,600,0.27,Agricultural land,2016,Generalist,Omnivores,50,9.54,29,3/16/2016 8:20
BB01,Northern Brownbul,Phyllastrephus strepitans,391606.2596,9843222.6,3/16/2016,8:30,147.54,600,0.25,Riparian thicket,2016,Generalist,Omnivores,50,9.54,29,3/16/2016 8:30
BB01,Northern Brownbul,Phyllastrephus strepitans,391568.2497,9843080.04,3/16/2016,8:40,146.59,600,0.24,Riparian thicket,2016,Generalist,Omnivores,50,9.54,29,3/16/2016 8:40
BB01,Northern Brownbul,Phyllastrephus strepitans,391448.1799,9843164.13,3/16/2016,8:50,115.32,600,0.19,Riparian thicket,2016,Generalist,Omnivores,50,9.54,29,3/16/2016 8:50
BB01,Northern Brownbul,Phyllastrephus strepitans,391406.5798,9843116.22,3/16/2016,10:40,39.59,600,0.07,Agricultural land,2016,Generalist,Omnivores,50,9.54,29,3/16/2016 10:40
BB01,Northern Brownbul,Phyllastrephus strepitans,391490.78,9843088.34,3/16/2016,11:10,7.83,600,0.01,Agricultural land,2016,Generalist,Omnivores,50,9.54,29,3/16/2016 11:10
BB01,Northern Brownbul,Phyllastrephus strepitans,391498.5498,9843089.32,3/16/2016,11:20,12.86,600,0.02,Agricultural land,2016,Generalist,Omnivores,50,9.54,29,3/16/2016 11:20
BB01,Northern Brownbul,Phyllastrephus strepitans,391494.3302,9843101.47,3/16/2016,11:30,50.1,600,0.08,Agricultural land,2016,Generalist,Omnivores,50,9.54,29,3/16/2016 11:30
BB01,Northern Brownbul,Phyllastrephus strepitans,391544.2596,9843105.64,3/16/2016,11:40,118.37,600,0.2,Agricultural land,2016,Generalist,Omnivores,50,9.54,29,3/16/2016 11:40
BB01,Northern Brownbul,Phyllastrephus strepitans,391468.4195,9843196.52,3/16/2016,11:50,136.54,600,0.23,Agricultural land,2016,Generalist,Omnivores,50,9.54,29,3/16/2016 11:50
BB01,Northern Brownbul,Phyllastrephus strepitans,391547.6704,9843085.33,3/16/2016,12:00,59.87,600,0.1,Agricultural land,2016,Generalist,Omnivores,50,9.54,29,3/16/2016 12:00
BB01,Northern Brownbul,Phyllastrephus strepitans,391216.4004,9842833.5,3/16/2016,14:00,392.04,600,0.65,Agricultural land,2016,Generalist,Omnivores,50,9.54,29,3/16/2016 14:00
BB01,Northern Brownbul,Phyllastrephus strepitans,390883.7603,9842626.03,3/16/2016,14:10,588,600,0.98,Agricultural land,2016,Generalist,Omnivores,50,9.54,29,3/16/2016 14:10
